[15:11:12.9569][1][Info]: enter Launch procedure 
[15:11:13.0578][1][Info]: ===>加载配置 
[15:11:14.6849][1][Info]: ===>开始解析BuffConfig 
[15:11:14.7033][1][Info]: <===解析BuffConfig完毕 
[15:11:14.7033][1][Info]: ===>开始解析SkillConfig 
[15:11:14.7469][1][Info]: <===解析SkillConfig完毕 
[15:11:14.7469][1][Info]: <===配置加载完毕 
[15:11:14.8671][2][Info]: enter Init Procedure 
[15:11:14.8957][2][Warn]: Not found awake system:<PlayerComponent> 
[15:11:18.0133][218][Info]: 登录 
[15:11:18.0133][218][Info]: 1001 
[15:11:18.0293][218][Info]: 大厅阶段 
[15:11:18.0970][219][Info]: Scene Add Entity, Current Count:1 
[15:11:21.2909][493][Info]: Scene Remove Entity, Current Count:0 
[15:11:21.2909][493][Info]: Scene Add Entity, Current Count:1 
[15:11:24.8119][901][Info]: 2=====transform.position======== 
[15:11:24.8119][902][Info]: 4=====transform.position======== 
[15:11:24.8448][904][Info]: 5=====transform.position======== 
[15:11:24.8598][906][Info]: 5=====transform.position======== 
[15:11:24.8828][909][Info]: 5=====transform.position======== 
[15:11:24.9042][912][Info]: 5=====transform.position======== 
[15:11:24.9199][914][Info]: 5=====transform.position======== 
[15:11:24.9424][916][Info]: 5=====transform.position======== 
[15:11:24.9657][919][Info]: 5=====transform.position======== 
[15:11:24.9857][921][Info]: 5=====transform.position======== 
[15:11:25.0057][923][Info]: 5=====transform.position======== 
[15:11:25.0211][925][Info]: 5=====transform.position======== 
[15:11:25.0439][928][Info]: 5=====transform.position======== 
[15:11:25.0671][931][Info]: 5=====transform.position======== 
[15:11:25.0821][933][Info]: 5=====transform.position======== 
[15:11:25.1058][936][Info]: 3=====transform.position======== 
[15:11:25.1218][938][Info]: 1=====transform.position======== 
[15:11:25.1459][940][Info]: 0=====transform.position======== 
[15:11:28.9647][1457][Info]: 2=====transform.position======== 
[15:11:28.9799][1459][Info]: 4=====transform.position======== 
[15:11:29.0002][1461][Info]: 5=====transform.position======== 
[15:11:29.0229][1463][Info]: 5=====transform.position======== 
