[14:21:25.7945][1][Info]: enter Launch procedure 
[14:21:26.0544][1][Info]: ===>加载配置 
[14:21:28.9459][1][Info]: ===>开始解析BuffConfig 
[14:21:28.9639][1][Info]: <===解析BuffConfig完毕 
[14:21:28.9639][1][Info]: ===>开始解析SkillConfig 
[14:21:29.0059][1][Info]: <===解析SkillConfig完毕 
[14:21:29.0299][1][Info]: <===配置加载完毕 
[14:21:29.2368][2][Info]: enter Init Procedure 
[14:21:29.2558][2][Warn]: Not found awake system:<PlayerComponent> 
[14:21:33.6137][309][Info]: 登录 
[14:21:33.6427][309][Info]: 1001 
[14:21:33.6587][309][Info]: 大厅阶段 
[14:21:33.7828][310][Info]: Scene Add Entity, Current Count:1 
[14:21:37.6607][534][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:37.6607][534][Info]: Scene Remove Entity, Current Count:0 
[14:21:37.6667][534][Info]: Scene Add Entity, Current Count:1 
[14:21:37.8538][535][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.0087][536][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.1267][537][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.1447][538][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.1577][539][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.1657][540][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.1657][541][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.1837][542][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.1837][543][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.2007][544][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.2007][545][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.2207][546][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.2337][547][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.2487][548][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.2487][549][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.2720][550][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.2940][551][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.2940][552][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.3208][553][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.3328][554][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.3418][555][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.3538][556][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.3538][557][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:21:38.3798][558][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
