[13:40:53.4948][1][Info]: enter Launch procedure 
[13:40:53.6068][1][Info]: ===>加载配置 
[13:40:55.0977][1][Info]: ===>开始解析BuffConfig 
[13:40:55.1077][1][Info]: <===解析BuffConfig完毕 
[13:40:55.1077][1][Info]: ===>开始解析SkillConfig 
[13:40:55.1537][1][Info]: <===解析SkillConfig完毕 
[13:40:55.1747][1][Info]: <===配置加载完毕 
[13:40:55.2727][2][Info]: enter Init Procedure 
[13:40:55.2897][2][Warn]: Not found awake system:<PlayerComponent> 
[13:40:58.1907][295][Info]: 登录 
[13:40:58.1987][295][Info]: 1001 
[13:40:58.1987][295][Info]: 大厅阶段 
[13:40:58.2597][296][Info]: Scene Add Entity, Current Count:1 
[13:41:03.5040][1145][Info]: Scene Remove Entity, Current Count:0 
[13:41:03.5040][1145][Info]: Scene Add Entity, Current Count:1 
[13:41:03.6119][1146][Info]: (0.01, 0.00, -0.05)====animator.velocity========= 
[13:41:03.6119][1146][Info]: (0.00, 0.00, -0.02)=====transform.position======== 
[13:41:03.7579][1147][Info]: (0.01, 0.00, -0.01)====animator.velocity========= 
[13:41:03.7579][1147][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:41:03.8464][1148][Info]: (0.01, 0.00, 0.00)====animator.velocity========= 
[13:41:03.8464][1148][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:41:03.8554][1149][Info]: (0.01, 0.00, 0.01)====animator.velocity========= 
[13:41:03.8554][1149][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:41:03.8554][1150][Info]: (0.01, 0.00, 0.01)====animator.velocity========= 
[13:41:03.8554][1150][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:41:03.8714][1151][Info]: (0.01, 0.00, 0.01)====animator.velocity========= 
[13:41:03.8714][1151][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:41:03.8714][1152][Info]: (0.01, 0.00, 0.01)====animator.velocity========= 
[13:41:03.8714][1152][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:41:03.8854][1153][Info]: (0.01, 0.00, 0.02)====animator.velocity========= 
[13:41:03.8854][1153][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:41:03.8854][1154][Info]: (0.01, 0.00, 0.02)====animator.velocity========= 
[13:41:03.8854][1154][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:41:03.8854][1155][Info]: (0.01, 0.00, 0.02)====animator.velocity========= 
[13:41:03.8854][1155][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
[13:41:03.9051][1156][Info]: (0.01, 0.00, 0.02)====animator.velocity========= 
[13:41:03.9051][1156][Info]: (0.00, 0.00, 2.63)=====transform.position======== 
