[14:05:02.6649][1][Info]: enter Launch procedure 
[14:05:02.7853][1][Info]: ===>加载配置 
[14:05:04.4892][1][Info]: ===>开始解析BuffConfig 
[14:05:04.4982][1][Info]: <===解析BuffConfig完毕 
[14:05:04.4982][1][Info]: ===>开始解析SkillConfig 
[14:05:04.5206][1][Info]: <===解析SkillConfig完毕 
[14:05:04.5299][1][Info]: <===配置加载完毕 
[14:05:04.6639][2][Info]: enter Init Procedure 
[14:05:04.6809][2][Warn]: Not found awake system:<PlayerComponent> 
[14:05:08.3372][306][Info]: 登录 
[14:05:08.3452][306][Info]: 1001 
[14:05:08.3452][306][Info]: 大厅阶段 
[14:05:08.4101][307][Info]: Scene Add Entity, Current Count:1 
[14:05:13.6726][819][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:13.6726][819][Info]: Scene Remove Entity, Current Count:0 
[14:05:13.6726][819][Info]: Scene Add Entity, Current Count:1 
[14:05:13.7815][820][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:13.9155][821][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.0166][822][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.0301][823][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.0471][824][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.0581][825][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.0581][826][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.0751][827][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.0751][828][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.0931][829][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.0931][830][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.1111][831][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.1241][832][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.1351][833][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.1351][834][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.1531][835][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.1531][836][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.1701][837][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.1701][838][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.1866][839][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.1866][840][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.2046][841][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.2126][842][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.2126][843][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.2302][844][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.2302][845][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.2522][846][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.2612][847][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.2612][848][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.2862][849][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.2952][850][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.2952][851][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.3122][852][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.3122][853][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.3289][854][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.3380][855][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.3380][856][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.3555][857][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.3555][858][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.3725][859][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.3725][860][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.3905][861][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.3905][862][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.4075][863][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.4183][864][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.4313][865][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.4503][866][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.4503][867][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.4683][868][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.4683][869][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.4873][870][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.4963][871][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.4963][872][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.5163][873][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.5262][874][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.5262][875][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.5452][876][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.5452][877][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.5642][878][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.5742][879][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.5892][880][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.6072][881][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.6072][882][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.6412][883][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.6651][884][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.6831][885][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.6831][886][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.7151][887][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.7151][888][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.7461][889][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.7661][890][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.7791][891][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.7921][892][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.7921][893][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.8201][894][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.8331][895][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.8456][896][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.8666][897][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.8816][898][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.9026][899][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.9226][900][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.9376][901][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.9516][902][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.9646][903][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.9646][904][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.9965][905][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:14.9965][906][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.0146][907][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.0255][908][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.0255][909][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.0485][910][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.0655][911][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.0755][912][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.0755][913][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.0955][914][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.1055][915][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.1055][916][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.1255][917][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.1355][918][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.1355][919][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.1535][920][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.1535][921][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.1715][922][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.1715][923][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.1915][924][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.2045][925][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.2175][926][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.2175][927][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.2365][928][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.2485][929][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.2485][930][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.2715][931][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.2815][932][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.2915][933][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.2915][934][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.3104][935][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.3104][936][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.3304][937][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.3404][938][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.3404][939][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.3654][940][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.3784][941][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.3894][942][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.3894][943][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.4084][944][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.4174][945][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.4174][946][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.4374][947][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.4484][948][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.4484][949][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.4714][950][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.4814][951][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.4814][952][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.5014][953][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.5154][954][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.5284][955][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.5284][956][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.5494][957][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.5574][958][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.5574][959][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.5784][960][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.5884][961][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.5884][962][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.6074][963][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.6074][964][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.6263][965][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.6353][966][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.6353][967][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.6533][968][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.6673][969][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.6883][970][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.6973][971][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.6973][972][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.7143][973][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.7143][974][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.7323][975][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.7323][976][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
[14:05:15.7483][977][Info]: (0.00, 0.00, 0.00)=======inputDirection============ 
