[14:52:06.9997][1][Info]: enter Launch procedure 
[14:52:07.0987][1][Info]: ===>加载配置 
[14:52:08.7317][1][Info]: ===>开始解析BuffConfig 
[14:52:08.7507][1][Info]: <===解析BuffConfig完毕 
[14:52:08.7507][1][Info]: ===>开始解析SkillConfig 
[14:52:08.8097][1][Info]: <===解析SkillConfig完毕 
[14:52:08.8342][1][Info]: <===配置加载完毕 
[14:52:08.9277][2][Info]: enter Init Procedure 
[14:52:08.9456][2][Warn]: Not found awake system:<PlayerComponent> 
[14:52:14.6892][648][Info]: 登录 
[14:52:14.6982][648][Info]: 1001 
[14:52:14.6982][648][Info]: 大厅阶段 
[14:52:14.7722][649][Info]: Scene Add Entity, Current Count:1 
[14:52:19.5712][1113][Info]: Scene Remove Entity, Current Count:0 
[14:52:19.5732][1113][Info]: Scene Add Entity, Current Count:1 
[14:52:22.0870][1382][Info]: 2=====transform.position======== 
[14:52:22.1030][1384][Info]: 4=====transform.position======== 
[14:52:22.1210][1386][Info]: 5=====transform.position======== 
[14:52:22.1420][1389][Info]: 5=====transform.position======== 
[14:52:22.1590][1391][Info]: 5=====transform.position======== 
[14:52:22.1800][1393][Info]: 5=====transform.position======== 
[14:52:22.2057][1395][Info]: 5=====transform.position======== 
[14:52:22.2227][1397][Info]: 5=====transform.position======== 
[14:52:22.2397][1399][Info]: 5=====transform.position======== 
[14:52:22.2637][1402][Info]: 3=====transform.position======== 
[14:52:22.2797][1404][Info]: 1=====transform.position======== 
[14:52:22.3027][1407][Info]: 0=====transform.position======== 
[14:52:22.9001][1488][Info]: 2=====transform.position======== 
[14:52:22.9238][1491][Info]: 4=====transform.position======== 
[14:52:22.9398][1493][Info]: 5=====transform.position======== 
[14:52:22.9638][1495][Info]: 5=====transform.position======== 
[14:52:22.9788][1497][Info]: 5=====transform.position======== 
[14:52:23.0008][1500][Info]: 5=====transform.position======== 
[14:52:23.0223][1502][Info]: 5=====transform.position======== 
[14:52:23.0393][1504][Info]: 3=====transform.position======== 
[14:52:23.0633][1507][Info]: 1=====transform.position======== 
[14:52:23.0793][1509][Info]: 0=====transform.position======== 
