[15:15:09.4385][1][Info]: enter Launch procedure 
[15:15:09.5512][1][Info]: ===>加载配置 
[15:15:11.2898][1][Info]: ===>开始解析BuffConfig 
[15:15:11.3008][1][Info]: <===解析BuffConfig完毕 
[15:15:11.3008][1][Info]: ===>开始解析SkillConfig 
[15:15:11.3297][1][Info]: <===解析SkillConfig完毕 
[15:15:11.3407][1][Info]: <===配置加载完毕 
[15:15:11.4487][2][Info]: enter Init Procedure 
[15:15:11.4641][2][Warn]: Not found awake system:<PlayerComponent> 
[15:15:15.2522][335][Info]: 登录 
[15:15:15.2612][335][Info]: 1001 
[15:15:15.2612][335][Info]: 大厅阶段 
[15:15:15.3351][336][Info]: Scene Add Entity, Current Count:1 
[15:15:18.5748][623][Info]: Scene Remove Entity, Current Count:0 
[15:15:18.5748][623][Info]: Scene Add Entity, Current Count:1 
[15:15:20.6842][852][Info]: 2=====transform.position======== 
[15:15:20.6992][854][Info]: 4=====transform.position======== 
[15:15:20.7142][856][Info]: 5=====transform.position======== 
[15:15:20.7362][858][Info]: 5=====transform.position======== 
[15:15:20.7562][860][Info]: 5=====transform.position======== 
[15:15:20.7762][862][Info]: 5=====transform.position======== 
[15:15:20.7992][865][Info]: 5=====transform.position======== 
[15:15:20.8151][867][Info]: 5=====transform.position======== 
[15:15:20.8381][870][Info]: 5=====transform.position======== 
[15:15:20.8551][872][Info]: 5=====transform.position======== 
[15:15:20.8781][875][Info]: 5=====transform.position======== 
[15:15:20.8971][877][Info]: 3=====transform.position======== 
[15:15:20.9201][879][Info]: 1=====transform.position======== 
[15:15:20.9391][881][Info]: 0=====transform.position======== 
[15:15:23.4746][1247][Info]: 2=====transform.position======== 
[15:15:23.4975][1250][Info]: 4=====transform.position======== 
[15:15:23.5195][1253][Info]: 5=====transform.position======== 
[15:15:23.5355][1255][Info]: 5=====transform.position======== 
[15:15:23.5565][1258][Info]: 5=====transform.position======== 
[15:15:23.5775][1260][Info]: 3=====transform.position======== 
[15:15:23.5995][1263][Info]: 1=====transform.position======== 
[15:15:23.6145][1265][Info]: 0=====transform.position======== 
[15:15:24.6952][1414][Info]: 2=====transform.position======== 
[15:15:24.7172][1417][Info]: 4=====transform.position======== 
[15:15:24.7371][1419][Info]: 5=====transform.position======== 
[15:15:24.7561][1421][Info]: 5=====transform.position======== 
[15:15:24.7781][1424][Info]: 5=====transform.position======== 
[15:15:24.7971][1426][Info]: 5=====transform.position======== 
[15:15:24.8191][1429][Info]: 5=====transform.position======== 
[15:15:24.8351][1431][Info]: 5=====transform.position======== 
[15:15:24.8571][1434][Info]: 5=====transform.position======== 
[15:15:24.8811][1437][Info]: 5=====transform.position======== 
[15:15:24.8961][1438][Info]: 5=====transform.position======== 
[15:15:24.9151][1440][Info]: 5=====transform.position======== 
[15:15:24.9391][1443][Info]: 5=====transform.position======== 
[15:15:24.9561][1445][Info]: 5=====transform.position======== 
[15:15:24.9781][1448][Info]: 5=====transform.position======== 
[15:15:24.9981][1450][Info]: 5=====transform.position======== 
[15:15:25.0171][1452][Info]: 5=====transform.position======== 
[15:15:25.0440][1455][Info]: 5=====transform.position======== 
[15:15:25.0440][1456][Info]: 5=====transform.position======== 
[15:15:25.0781][1459][Info]: 5=====transform.position======== 
[15:15:25.1010][1462][Info]: 5=====transform.position======== 
[15:15:25.1160][1464][Info]: 5=====transform.position======== 
[15:15:25.1380][1467][Info]: 5=====transform.position======== 
[15:15:25.1600][1470][Info]: 5=====transform.position======== 
[15:15:25.1770][1472][Info]: 5=====transform.position======== 
[15:15:25.1960][1474][Info]: 5=====transform.position======== 
[15:15:25.2210][1476][Info]: 5=====transform.position======== 
[15:15:25.2380][1478][Info]: 3=====transform.position======== 
[15:15:25.2600][1481][Info]: 1=====transform.position======== 
[15:15:25.2750][1483][Info]: 0=====transform.position======== 
[15:15:26.2417][1613][Info]: 2=====transform.position======== 
[15:15:26.2607][1615][Info]: 4=====transform.position======== 
[15:15:26.2767][1617][Info]: 5=====transform.position======== 
[15:15:26.2956][1619][Info]: 5=====transform.position======== 
[15:15:26.3206][1622][Info]: 5=====transform.position======== 
[15:15:26.3396][1624][Info]: 5=====transform.position======== 
[15:15:26.3556][1626][Info]: 5=====transform.position======== 
[15:15:26.3816][1629][Info]: 5=====transform.position======== 
[15:15:26.3986][1631][Info]: 5=====transform.position======== 
[15:15:26.4166][1633][Info]: 5=====transform.position======== 
[15:15:26.4466][1635][Info]: 5=====transform.position======== 
[15:15:26.4556][1636][Info]: 5=====transform.position======== 
[15:15:26.4746][1638][Info]: 5=====transform.position======== 
[15:15:26.4996][1641][Info]: 5=====transform.position======== 
[15:15:26.5187][1643][Info]: 5=====transform.position======== 
[15:15:26.5367][1645][Info]: 5=====transform.position======== 
[15:15:26.5627][1648][Info]: 5=====transform.position======== 
[15:15:26.5837][1650][Info]: 3=====transform.position======== 
[15:15:26.5977][1651][Info]: 1=====transform.position======== 
[15:15:26.6157][1653][Info]: 0=====transform.position======== 
[15:15:27.9773][1847][Info]: 2=====transform.position======== 
[15:15:27.9993][1850][Info]: 4=====transform.position======== 
[15:15:28.0153][1852][Info]: 5=====transform.position======== 
[15:15:28.0403][1855][Info]: 5=====transform.position======== 
[15:15:28.0563][1857][Info]: 5=====transform.position======== 
[15:15:28.0753][1859][Info]: 5=====transform.position======== 
[15:15:28.0993][1862][Info]: 5=====transform.position======== 
[15:15:28.1198][1864][Info]: 5=====transform.position======== 
[15:15:28.1398][1866][Info]: 5=====transform.position======== 
[15:15:28.1548][1868][Info]: 5=====transform.position======== 
[15:15:28.1808][1871][Info]: 5=====transform.position======== 
[15:15:28.1978][1873][Info]: 5=====transform.position======== 
[15:15:28.2158][1875][Info]: 5=====transform.position======== 
[15:15:28.2358][1877][Info]: 3=====transform.position======== 
[15:15:28.2618][1880][Info]: 1=====transform.position======== 
[15:15:28.2798][1881][Info]: 0=====transform.position======== 
