[09:57:59.2075][1][Info]: enter Launch procedure 
[09:57:59.3115][1][Info]: ===>加载配置 
[09:58:02.4566][1][Info]: ===>开始解析BuffConfig 
[09:58:02.4566][1][Info]: <===解析BuffConfig完毕 
[09:58:02.4566][1][Info]: ===>开始解析SkillConfig 
[09:58:02.4696][1][Info]: <===解析SkillConfig完毕 
[09:58:02.4696][1][Info]: <===配置加载完毕 
[09:58:02.5186][1][Info]: enter Init Procedure 
[09:58:06.0461][488][Info]: 登录 
[09:58:06.8381][671][Info]: 登录 
[09:58:07.0309][707][Info]: 登录 
[09:58:07.2136][752][Info]: 登录 
[09:58:07.3672][789][Info]: 登录 
