[14:17:21.2588][1][Info]: enter Launch procedure 
[14:17:21.3268][1][Info]: ===>加载配置 
[14:17:22.8471][1][Info]: ===>开始解析BuffConfig 
[14:17:22.8471][1][Info]: <===解析BuffConfig完毕 
[14:17:22.8471][1][Info]: ===>开始解析SkillConfig 
[14:17:22.8661][1][Info]: <===解析SkillConfig完毕 
[14:17:22.8991][1][Info]: <===配置加载完毕 
[14:17:22.9261][1][Info]: enter Init Procedure 
[14:17:25.1943][217][Info]: 登录 
[14:17:25.5522][296][Info]: 登录 
[14:17:25.7202][333][Info]: 登录 
[14:17:25.8765][367][Info]: 登录 
[14:17:26.0319][399][Info]: 登录 
