[15:00:06.2081][1][Info]: enter Launch procedure 
[15:00:06.3370][1][Info]: ===>加载配置 
[15:00:08.3752][1][Info]: ===>开始解析BuffConfig 
[15:00:08.3892][1][Info]: <===解析BuffConfig完毕 
[15:00:08.3892][1][Info]: ===>开始解析SkillConfig 
[15:00:08.4192][1][Info]: <===解析SkillConfig完毕 
[15:00:08.4192][1][Info]: <===配置加载完毕 
[15:00:08.5591][2][Info]: enter Init Procedure 
[15:00:08.5951][2][Warn]: Not found awake system:<PlayerComponent> 
[15:00:11.5826][229][Info]: 登录 
[15:00:11.5916][229][Info]: 1001 
[15:00:11.5916][229][Info]: 大厅阶段 
[15:00:11.6795][230][Info]: Scene Add Entity, Current Count:1 
[15:00:13.5948][328][Info]: Scene Remove Entity, Current Count:0 
[15:00:13.5948][328][Info]: Scene Add Entity, Current Count:1 
[15:00:32.3234][2706][Info]: 2=====transform.position======== 
[15:00:32.3484][2708][Info]: 4=====transform.position======== 
[15:00:32.3624][2709][Info]: 5=====transform.position======== 
[15:00:32.3794][2711][Info]: 5=====transform.position======== 
[15:00:32.4024][2714][Info]: 5=====transform.position======== 
[15:00:32.4190][2716][Info]: 5=====transform.position======== 
[15:00:32.4420][2719][Info]: 5=====transform.position======== 
[15:00:32.4590][2721][Info]: 5=====transform.position======== 
[15:00:32.4880][2724][Info]: 5=====transform.position======== 
[15:00:32.5020][2725][Info]: 3=====transform.position======== 
[15:00:32.5249][2728][Info]: 1=====transform.position======== 
[15:00:32.5409][2730][Info]: 0=====transform.position======== 
[15:00:39.0025][3614][Info]: 2=====transform.position======== 
[15:00:39.0198][3616][Info]: 4=====transform.position======== 
[15:00:39.0418][3619][Info]: 5=====transform.position======== 
[15:00:39.0658][3622][Info]: 5=====transform.position======== 
[15:00:39.0848][3624][Info]: 5=====transform.position======== 
[15:00:39.1018][3626][Info]: 5=====transform.position======== 
[15:00:39.1216][3628][Info]: 5=====transform.position======== 
[15:00:39.1405][3630][Info]: 5=====transform.position======== 
[15:00:39.1625][3633][Info]: 5=====transform.position======== 
[15:00:39.1785][3635][Info]: 5=====transform.position======== 
[15:00:39.2015][3638][Info]: 5=====transform.position======== 
[15:00:39.2245][3641][Info]: 5=====transform.position======== 
[15:00:39.2405][3643][Info]: 5=====transform.position======== 
[15:00:39.2635][3646][Info]: 5=====transform.position======== 
[15:00:39.2909][3648][Info]: 5=====transform.position======== 
[15:00:39.2909][3649][Info]: 5=====transform.position======== 
[15:00:39.3239][3652][Info]: 3=====transform.position======== 
[15:00:39.3399][3654][Info]: 1=====transform.position======== 
[15:00:39.3619][3657][Info]: 0=====transform.position======== 
[15:00:40.3451][3794][Info]: 2=====transform.position======== 
[15:00:40.3611][3796][Info]: 4=====transform.position======== 
[15:00:40.3831][3799][Info]: 5=====transform.position======== 
[15:00:40.3991][3801][Info]: 5=====transform.position======== 
[15:00:40.4241][3804][Info]: 3=====transform.position======== 
[15:00:40.4391][3806][Info]: 1=====transform.position======== 
[15:00:40.4621][3809][Info]: 0=====transform.position======== 
[15:00:40.8026][3851][Info]: 2=====transform.position======== 
[15:00:40.8186][3853][Info]: 4=====transform.position======== 
[15:00:40.8401][3856][Info]: 5=====transform.position======== 
[15:00:40.8641][3859][Info]: 5=====transform.position======== 
[15:00:40.8791][3861][Info]: 5=====transform.position======== 
[15:00:40.9011][3864][Info]: 5=====transform.position======== 
[15:00:40.9216][3866][Info]: 5=====transform.position======== 
[15:00:40.9452][3869][Info]: 5=====transform.position======== 
[15:00:40.9672][3871][Info]: 5=====transform.position======== 
[15:00:40.9792][3872][Info]: 5=====transform.position======== 
[15:00:41.0042][3875][Info]: 3=====transform.position======== 
[15:00:41.0201][3877][Info]: 1=====transform.position======== 
[15:00:41.0425][3880][Info]: 0=====transform.position======== 
[15:00:42.1800][4040][Info]: 2=====transform.position======== 
[15:00:42.2041][4043][Info]: 4=====transform.position======== 
[15:00:42.2207][4045][Info]: 5=====transform.position======== 
[15:00:42.2427][4048][Info]: 5=====transform.position======== 
