[13:04:04.6624][1][Info]: enter Launch procedure 
[13:04:04.7413][1][Info]: ===>加载配置 
[13:04:05.4931][1][Info]: ===>开始解析BuffConfig 
[13:04:05.4931][1][Info]: <===解析BuffConfig完毕 
[13:04:05.4931][1][Info]: ===>开始解析SkillConfig 
[13:04:05.5081][1][Info]: <===解析SkillConfig完毕 
[13:04:05.5321][1][Info]: <===配置加载完毕 
[13:04:06.4925][3][Info]: enter Init Procedure 
[13:04:08.1086][277][Info]: 登录 
[13:04:08.6376][408][Info]: 登录 
[13:04:08.8032][449][Info]: 登录 
[13:04:08.9760][487][Info]: 登录 
[13:04:09.1375][526][Info]: 登录 
