[14:54:59.9732][1][Info]: enter Launch procedure 
[14:55:00.1002][1][Info]: ===>加载配置 
[14:55:01.9484][1][Info]: ===>开始解析BuffConfig 
[14:55:01.9484][1][Info]: <===解析BuffConfig完毕 
[14:55:01.9484][1][Info]: ===>开始解析SkillConfig 
[14:55:02.0024][1][Info]: <===解析SkillConfig完毕 
[14:55:02.0124][1][Info]: <===配置加载完毕 
[14:55:02.1013][2][Info]: enter Init Procedure 
[14:55:02.1193][2][Warn]: Not found awake system:<PlayerComponent> 
[14:55:05.5112][273][Info]: 登录 
[14:55:05.5112][273][Info]: 1001 
[14:55:05.5272][273][Info]: 大厅阶段 
[14:55:05.5943][274][Info]: Scene Add Entity, Current Count:1 
[14:55:12.1957][981][Info]: Scene Remove Entity, Current Count:0 
[14:55:12.1957][981][Info]: Scene Add Entity, Current Count:1 
[14:55:19.5035][1857][Info]: 2=====transform.position======== 
[14:55:19.5205][1859][Info]: 4=====transform.position======== 
[14:55:19.5480][1862][Info]: 5=====transform.position======== 
[14:55:19.5600][1863][Info]: 5=====transform.position======== 
[14:55:19.5840][1866][Info]: 5=====transform.position======== 
[14:55:19.6000][1868][Info]: 5=====transform.position======== 
[14:55:19.6230][1871][Info]: 5=====transform.position======== 
[14:55:19.6460][1874][Info]: 5=====transform.position======== 
[14:55:19.6630][1876][Info]: 5=====transform.position======== 
[14:55:19.6849][1879][Info]: 5=====transform.position======== 
[14:55:19.7139][1881][Info]: 5=====transform.position======== 
[14:55:19.7139][1882][Info]: 5=====transform.position======== 
[14:55:19.7449][1884][Info]: 5=====transform.position======== 
[14:55:19.7619][1886][Info]: 5=====transform.position======== 
[14:55:19.7809][1888][Info]: 3=====transform.position======== 
[14:55:19.8059][1891][Info]: 1=====transform.position======== 
[14:55:19.8229][1893][Info]: 0=====transform.position======== 
[14:55:20.9781][2050][Info]: 2=====transform.position======== 
[14:55:21.0021][2053][Info]: 4=====transform.position======== 
[14:55:21.0261][2056][Info]: 5=====transform.position======== 
[14:55:21.0421][2058][Info]: 5=====transform.position======== 
[14:55:21.0641][2061][Info]: 5=====transform.position======== 
[14:55:21.0781][2062][Info]: 5=====transform.position======== 
[14:55:21.1051][2065][Info]: 5=====transform.position======== 
[14:55:21.1211][2067][Info]: 5=====transform.position======== 
[14:55:21.1411][2069][Info]: 5=====transform.position======== 
[14:55:21.1640][2072][Info]: 5=====transform.position======== 
[14:55:21.1810][2074][Info]: 5=====transform.position======== 
[14:55:21.2040][2077][Info]: 5=====transform.position======== 
[14:55:21.2210][2079][Info]: 5=====transform.position======== 
[14:55:21.2450][2081][Info]: 5=====transform.position======== 
[14:55:21.2610][2083][Info]: 5=====transform.position======== 
[14:55:21.2832][2086][Info]: 5=====transform.position======== 
[14:55:21.2992][2088][Info]: 5=====transform.position======== 
[14:55:21.3222][2091][Info]: 5=====transform.position======== 
[14:55:21.3422][2093][Info]: 5=====transform.position======== 
[14:55:21.3592][2095][Info]: 5=====transform.position======== 
[14:55:21.3891][2098][Info]: 3=====transform.position======== 
[14:55:21.4012][2099][Info]: 1=====transform.position======== 
[14:55:21.4251][2102][Info]: 0=====transform.position======== 
[14:55:22.3233][2226][Info]: 2=====transform.position======== 
[14:55:22.3433][2228][Info]: 4=====transform.position======== 
[14:55:22.3593][2230][Info]: 5=====transform.position======== 
[14:55:22.3833][2233][Info]: 5=====transform.position======== 
[14:55:22.3993][2235][Info]: 5=====transform.position======== 
[14:55:22.4233][2238][Info]: 5=====transform.position======== 
[14:55:22.4403][2240][Info]: 3=====transform.position======== 
[14:55:22.4623][2242][Info]: 1=====transform.position======== 
[14:55:22.4815][2244][Info]: 0=====transform.position======== 
[14:55:25.8413][2704][Info]: 2=====transform.position======== 
[14:55:25.8633][2707][Info]: 4=====transform.position======== 
[14:55:25.8793][2709][Info]: 5=====transform.position======== 
[14:55:25.9023][2712][Info]: 5=====transform.position======== 
[14:55:25.9253][2715][Info]: 5=====transform.position======== 
[14:55:25.9413][2717][Info]: 5=====transform.position======== 
[14:55:25.9663][2720][Info]: 3=====transform.position======== 
[14:55:25.9793][2721][Info]: 1=====transform.position======== 
[14:55:25.9993][2723][Info]: 0=====transform.position======== 
