[09:58:34.5268][1][Info]: enter Launch procedure 
[09:58:34.6628][1][Info]: ===>加载配置 
[09:58:35.9923][1][Info]: ===>开始解析BuffConfig 
[09:58:36.0023][1][Info]: <===解析BuffConfig完毕 
[09:58:36.0023][1][Info]: ===>开始解析SkillConfig 
[09:58:36.0323][1][Info]: <===解析SkillConfig完毕 
[09:58:36.0490][1][Info]: <===配置加载完毕 
[09:58:36.1120][1][Info]: enter Init Procedure 
[09:58:40.4482][722][Info]: 登录 
[09:58:41.0080][851][Info]: 登录 
[09:58:41.1549][886][Info]: 登录 
[09:58:41.3225][925][Info]: 登录 
[09:58:41.4913][964][Info]: 登录 
[09:58:41.6532][1001][Info]: 登录 
[09:58:41.8112][1038][Info]: 登录 
