[10:13:14.3260][1][Info]: enter Launch procedure 
[10:13:14.4186][1][Info]: ===>加载配置 
[10:13:16.2898][1][Info]: ===>开始解析BuffConfig 
[10:13:16.2978][1][Info]: <===解析BuffConfig完毕 
[10:13:16.2978][1][Info]: ===>开始解析SkillConfig 
[10:13:16.3528][1][Info]: <===解析SkillConfig完毕 
[10:13:16.3708][1][Info]: <===配置加载完毕 
[10:13:16.4555][1][Info]: enter Init Procedure 
[10:13:18.9414][115][Info]: 登录 
[10:13:21.1262][489][Info]: 登录 
[10:13:21.2912][527][Info]: 登录 
[10:13:21.4651][566][Info]: 登录 
[10:13:21.6151][593][Info]: 登录 
[10:13:21.7622][625][Info]: 登录 
